"iteration","revenue"
"1","3205.6"
"2","3205.6"
"3","3365.95"
"4","3604.25"
"5","3705.8"
"6","3727.73"
"7","3727.73"
"8","3792.66"
"9","3931.49"
"10","3931.49"
"11","3931.49"
"12","4015.96"
"13","4143.49"
"14","4143.49"
"15","4143.49"
"16","4150.08"
"17","4150.08"
"18","4189.47"
"19","4189.47"
"20","4189.47"
"21","4189.47"
"22","4189.47"
"23","4189.47"
"24","4189.47"
"25","4189.47"
"26","4189.47"
"27","4189.47"
"28","4190.29"
"29","4201.28"
"30","4201.28"
"31","4201.28"
"32","4201.28"
"33","4203.19"
"34","4203.56"
"35","4207.92"
"36","4213.3"
"37","4213.3"
"38","4216.32"
"39","4224.33"
"40","4243.61"
"41","4243.66"
"42","4251.81"
"43","4265.54"
"44","4265.54"
"45","4267.33"
"46","4267.33"
"47","4275.2"
"48","4279.54"
"49","4282.86"
"50","4284.42"
"51","4286.28"
"52","4289.16"
"53","4290.39"
"54","4291.12"
"55","4292.55"
"56","4293.88"
"57","4294.72"
"58","4294.72"
"59","4295.99"
"60","4296.84"
"61","4296.84"
"62","4297.16"
"63","4297.78"
"64","4298.43"
"65","4298.43"
"66","4298.51"
"67","4298.91"
"68","4299.44"
"69","4299.46"
"70","4299.81"
"71","4300.09"
"72","4300.09"
"73","4300.33"
"74","4300.33"
"75","4300.44"
"76","4300.5"
"77","4300.54"
"78","4300.57"
"79","4300.6"
"80","4300.61"
"81","4300.62"
"82","4300.64"
"83","4300.66"
"84","4300.66"
"85","4300.68"
"86","4300.7"
"87","4300.71"
"88","4300.71"
"89","4300.72"
"90","4300.72"
"91","4300.72"
"92","4300.72"
"93","4300.72"
"94","4300.72"
"95","4300.72"
"96","4300.72"
"97","4300.72"
"98","4300.72"
"99","4300.72"
"100","4300.72"
